feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3410584,LOC645586,LOC645586,LOC645586,FALSE,TRUE,TRUE,-1.4391622503666652,-0.35140138611363636,-8.657688726091743,3.682202859942094e-11,7.78270396477361e-7,15.138170132588112,Down_in_T1R_R1,1.4391622503666652
A_23_P360754,ADAMTS4,ADAMTS4,ADAMTS4,FALSE,TRUE,TRUE,1.6919039661523794,1.6251504282727274,7.572363388979596,1.3995760181915159e-9,7.913307747654136e-6,11.727217279458683,Up_in_T1R_R1,1.6919039661523794
A_23_P16252,KLK1,KLK1,KLK1,FALSE,TRUE,TRUE,-1.1178271852380943,2.0541966304545456,-7.525636408787523,1.6403486996622554e-9,7.913307747654136e-6,11.577848645742506,Down_in_T1R_R1,1.1178271852380943
A_33_P3343972,RSPH1,RSPH1,RSPH1,FALSE,TRUE,TRUE,-1.191841238695237,0.43726657595454543,-7.478536053201739,1.9252564121795803e-9,7.913307747654136e-6,11.427114982529762,Down_in_T1R_R1,1.191841238695237
A_33_P3393766,C17orf96,C17orf96,C17orf96,FALSE,TRUE,TRUE,1.3869883084999992,-0.8995706317045454,7.171739547679521,5.481487004613773e-9,1.5215299059521251e-5,10.441460839369345,Up_in_T1R_R1,1.3869883084999992
A_23_P69100,ARHGEF26,ARHGEF26,ARHGEF26,FALSE,TRUE,TRUE,-1.2723680996047608,0.04137403070454545,-7.072123672170117,7.707008432422853e-9,1.628953302276894e-5,10.120171166123471,Down_in_T1R_R1,1.2723680996047608
A_23_P158725,SLC16A3,SLC16A3,SLC16A3,FALSE,TRUE,TRUE,1.2475089867619042,-1.384468622727273,6.954368090193062,1.1535790748553412e-8,2.2165497569220447e-5,9.739721998527829,Up_in_T1R_R1,1.2475089867619042
A_23_P30655,NFKBIE,NFKBIE,NFKBIE,FALSE,TRUE,TRUE,1.062549352419047,1.2441374967272727,6.820473582130151,1.8258381907088572e-8,2.613184878964572e-5,9.306400738557556,Up_in_T1R_R1,1.062549352419047
A_24_P398147,NEBL,NEBL,NEBL,FALSE,TRUE,TRUE,-1.2347846315571418,0.26350939506818183,-6.8052850131814475,1.923521971429976e-8,2.613184878964572e-5,9.257204065490647,Down_in_T1R_R1,1.2347846315571418
A_23_P79302,LYPD6B,LYPD6B,LYPD6B,FALSE,TRUE,TRUE,-1.2578160123809516,0.9913791789090908,-6.702438708624966,2.7379439613152818e-8,2.6535334215732545e-5,8.923889987185806,Down_in_T1R_R1,1.2578160123809516
A_23_P207850,TNS4,TNS4,TNS4,FALSE,TRUE,TRUE,-1.2006898382095226,0.22272728777272727,-6.694934076608628,2.809417965329878e-8,2.6535334215732545e-5,8.899556669666033,Down_in_T1R_R1,1.2006898382095226
A_23_P115022,TMEM125,TMEM125,TMEM125,FALSE,TRUE,TRUE,-1.118013645247618,-0.8788611048636363,-6.68530625040073,2.9038563873073684e-8,2.6535334215732545e-5,8.868336962703001,Down_in_T1R_R1,1.118013645247618
A_33_P3377750,KLC3,KLC3,KLC3,FALSE,TRUE,TRUE,-1.0745374377857138,1.7214740043409091,-6.653459137755716,3.239485331485449e-8,2.6535334215732545e-5,8.765052133926023,Down_in_T1R_R1,1.0745374377857138
A_33_P3367860,CHRM1,CHRM1,CHRM1,FALSE,TRUE,TRUE,-1.1023441934809513,0.08932317802272727,-6.577697082726514,4.202435598697802e-8,2.783362501652832e-5,8.519260434608,Down_in_T1R_R1,1.1023441934809513
A_33_P3394140,LOC283050,LOC283050,LOC283050,FALSE,TRUE,TRUE,1.1490725459714284,0.2745871345,6.5768955647838085,4.2140234695727975e-8,2.783362501652832e-5,8.516659555959361,Up_in_T1R_R1,1.1490725459714284
A_23_P65307,SLITRK6,SLITRK6,SLITRK6,FALSE,TRUE,TRUE,-1.3742844373809513,0.9022017286818182,-6.5278438077950796,4.987552496228213e-8,3.100497340008221e-5,8.357471791179588,Down_in_T1R_R1,1.3742844373809513
A_33_P3238290,FAM65C,FAM65C,FAM65C,FALSE,TRUE,TRUE,1.165446376742856,-0.02384414045454545,6.518226968711463,5.155106357565173e-8,3.1130950849570706e-5,8.326258617235847,Up_in_T1R_R1,1.165446376742856
A_23_P71170,TRPV6,TRPV6,TRPV6,FALSE,TRUE,TRUE,-1.1014042622047604,-0.24585250706818185,-6.485589417662909,5.7668718502315586e-8,3.294286579094438e-5,8.220320460738915,Down_in_T1R_R1,1.1014042622047604
A_23_P148990,HMCN1,HMCN1,HMCN1,FALSE,TRUE,TRUE,1.0492870736761897,1.5296984023636364,6.35854113014342,8.923287796133221e-8,4.1256138565563665e-5,7.807877933879754,Up_in_T1R_R1,1.0492870736761897
A_33_P3361546,TFAP2A,TFAP2A,TFAP2A,FALSE,TRUE,TRUE,-1.2461692345809514,-0.13632715395454545,-6.356732473155316,8.978909793792246e-8,4.1256138565563665e-5,7.802006296392768,Down_in_T1R_R1,1.2461692345809514
A_23_P60130,MAL2,MAL2,MAL2,FALSE,TRUE,TRUE,-1.1096317424047613,-0.8565722164772728,-6.285518053824507,1.1467595365223165e-7,4.294297437354008e-5,7.570828004021368,Down_in_T1R_R1,1.1096317424047613
A_33_P3282075,SP6,SP6,SP6,FALSE,TRUE,TRUE,-1.1343866821619035,0.3230441686818182,-6.28490365798219,1.1491822300258357e-7,4.294297437354008e-5,7.568833691306307,Down_in_T1R_R1,1.1343866821619035
A_33_P3540143,IL17RA,IL17RA,IL17RA,FALSE,TRUE,TRUE,1.0884920837142849,2.3573131422727274,6.269380919169353,1.2121171844706078e-7,4.294297437354008e-5,7.518448510572031,Up_in_T1R_R1,1.0884920837142849
