feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3410584,LOC645586,LOC645586,LOC645586,FALSE,TRUE,TRUE,-1.4391622503666652,-0.35140138611363636,-8.657688726091743,3.682202859942094e-11,7.78270396477361e-7,15.138170132588112,Down_in_T1R_R1,1.4391622503666652
A_23_P360754,ADAMTS4,ADAMTS4,ADAMTS4,FALSE,TRUE,TRUE,1.6919039661523794,1.6251504282727274,7.572363388979596,1.3995760181915159e-9,7.913307747654136e-6,11.727217279458683,Up_in_T1R_R1,1.6919039661523794
A_23_P16252,KLK1,KLK1,KLK1,FALSE,TRUE,TRUE,-1.1178271852380943,2.0541966304545456,-7.525636408787523,1.6403486996622554e-9,7.913307747654136e-6,11.577848645742506,Down_in_T1R_R1,1.1178271852380943
A_33_P3343972,RSPH1,RSPH1,RSPH1,FALSE,TRUE,TRUE,-1.191841238695237,0.43726657595454543,-7.478536053201739,1.9252564121795803e-9,7.913307747654136e-6,11.427114982529762,Down_in_T1R_R1,1.191841238695237
A_23_P37778,FHOD1,FHOD1,FHOD1,FALSE,TRUE,TRUE,0.5134995768571424,-0.624975953,7.453520723144899,2.096297290137364e-9,7.913307747654136e-6,11.346991122547552,Up_in_T1R_R1,0.5134995768571424
A_23_P111995,LOXL2,LOXL2,LOXL2,FALSE,TRUE,TRUE,0.8823302799999991,-2.500396167272727,7.433203946913353,2.2463969760562462e-9,7.913307747654136e-6,11.281882639590872,Up_in_T1R_R1,0.8823302799999991
A_33_P3393766,C17orf96,C17orf96,C17orf96,FALSE,TRUE,TRUE,1.3869883084999992,-0.8995706317045454,7.171739547679521,5.481487004613773e-9,1.5215299059521251e-5,10.441460839369345,Up_in_T1R_R1,1.3869883084999992
A_24_P26897,INPP5A,INPP5A,INPP5A,FALSE,TRUE,TRUE,-0.5967422866714283,-0.18208747765909092,-7.157293219307003,5.7590079710527075e-9,1.5215299059521251e-5,10.3949013755493,Down_in_T1R_R1,0.5967422866714283
A_23_P25746,C14orf128,C14orf128,C14orf128,FALSE,TRUE,TRUE,-0.7853399586904757,-0.8413804801136363,-7.110389547354786,6.7610869645447184e-9,1.5878037120290795e-5,10.243653420059836,Down_in_T1R_R1,0.7853399586904757
A_23_P69100,ARHGEF26,ARHGEF26,ARHGEF26,FALSE,TRUE,TRUE,-1.2723680996047608,0.04137403070454545,-7.072123672170117,7.707008432422853e-9,1.628953302276894e-5,10.120171166123471,Down_in_T1R_R1,1.2723680996047608
A_23_P158725,SLC16A3,SLC16A3,SLC16A3,FALSE,TRUE,TRUE,1.2475089867619042,-1.384468622727273,6.954368090193062,1.1535790748553412e-8,2.2165497569220447e-5,9.739721998527829,Up_in_T1R_R1,1.2475089867619042
A_24_P218265,TNFRSF10B,TNFRSF10B,TNFRSF10B,FALSE,TRUE,TRUE,0.5735265621190474,-0.5937859300227273,6.871503698526284,1.5326173239778864e-8,2.613184878964572e-5,9.471630807484509,Up_in_T1R_R1,0.5735265621190474
A_23_P160466,SLC19A2,SLC19A2,SLC19A2,FALSE,TRUE,TRUE,-0.7093664628809516,0.21173529975,-6.835077901869988,1.736602928088752e-8,2.613184878964572e-5,9.35369752262718,Down_in_T1R_R1,0.7093664628809516
A_23_P30655,NFKBIE,NFKBIE,NFKBIE,FALSE,TRUE,TRUE,1.062549352419047,1.2441374967272727,6.820473582130151,1.8258381907088572e-8,2.613184878964572e-5,9.306400738557556,Up_in_T1R_R1,1.062549352419047
A_24_P398147,NEBL,NEBL,NEBL,FALSE,TRUE,TRUE,-1.2347846315571418,0.26350939506818183,-6.8052850131814475,1.923521971429976e-8,2.613184878964572e-5,9.257204065490647,Down_in_T1R_R1,1.2347846315571418
A_23_P101374,CYP2S1,CYP2S1,CYP2S1,FALSE,TRUE,TRUE,0.7714520993571421,0.03653895061363636,6.797119212217678,1.9781868879368452e-8,2.613184878964572e-5,9.230751365899591,Up_in_T1R_R1,0.7714520993571421
A_33_P3354464,LOXL1,LOXL1,LOXL1,FALSE,TRUE,TRUE,0.7639837628666658,0.06518547136363635,6.767963494035285,2.186382257624409e-8,2.6535334215732545e-5,9.13628539825728,Up_in_T1R_R1,0.7639837628666658
A_23_P16944,SDC1,SDC1,SDC1,FALSE,TRUE,TRUE,-0.9653810446190468,0.5958977593181818,-6.73466356765923,2.4511626218240872e-8,2.6535334215732545e-5,9.028360361557056,Down_in_T1R_R1,0.9653810446190468
A_23_P79302,LYPD6B,LYPD6B,LYPD6B,FALSE,TRUE,TRUE,-1.2578160123809516,0.9913791789090908,-6.702438708624966,2.7379439613152818e-8,2.6535334215732545e-5,8.923889987185806,Down_in_T1R_R1,1.2578160123809516
A_23_P207850,TNS4,TNS4,TNS4,FALSE,TRUE,TRUE,-1.2006898382095226,0.22272728777272727,-6.694934076608628,2.809417965329878e-8,2.6535334215732545e-5,8.899556669666033,Down_in_T1R_R1,1.2006898382095226
A_23_P115022,TMEM125,TMEM125,TMEM125,FALSE,TRUE,TRUE,-1.118013645247618,-0.8788611048636363,-6.68530625040073,2.9038563873073684e-8,2.6535334215732545e-5,8.868336962703001,Down_in_T1R_R1,1.118013645247618
A_33_P3404706,SPN,SPN,SPN,FALSE,TRUE,TRUE,0.960229930671428,0.6713839731136364,6.675002674554254,3.008447639014538e-8,2.6535334215732545e-5,8.834923540674005,Up_in_T1R_R1,0.960229930671428
A_33_P3377750,KLC3,KLC3,KLC3,FALSE,TRUE,TRUE,-1.0745374377857138,1.7214740043409091,-6.653459137755716,3.239485331485449e-8,2.6535334215732545e-5,8.765052133926023,Down_in_T1R_R1,1.0745374377857138
